Away,Home,Away_Score,Home_Score,Date
Youngstown State,South Dakota State,13,63,2024-10-12
Bethune-Cookman,Alabama A&M,12,56,2024-10-12
Mississippi Valley State,Alabama State,17,54,2024-10-12
Alcorn State,Grambling,17,15,2024-10-12
Delaware State,Robert Morris,0,23,2024-10-12
Merrimack,Morgan State,32,24,2024-10-12
Northern Iowa,South Dakota,17,42,2024-10-12
SE Louisiana,Houston Christian,37,7,2024-10-12
Samford,East Tennessee State,28,31,2024-10-12
Princeton,Mercer,7,34,2024-10-12
Tennessee Tech,Southeast Missouri State,3,34,2024-10-12
UT Martin,Western Illinois,45,17,2024-10-12
Northern Arizona,Montana,20,31,2024-10-12
Stephen F. Austin,Lamar,27,20,2024-10-12
Eastern Kentucky,Southern Utah,21,42,2024-10-12
West Georgia,Central Arkansas,33,34,2024-10-12
Eastern Illinois,Tennessee State,17,41,2024-10-12
Portland State,Idaho State,42,38,2024-10-12
Abilene Christian,North Alabama,34,47,2024-10-12
Utah Tech,Tarleton State,0,42,2024-10-12
Nicholls,Incarnate Word,10,55,2024-10-12
Cal Poly,UC Davis,10,56,2024-10-12
Southern,Texas Southern,22,19,2024-10-12
Northern Colorado,Weber State,21,17,2024-10-12
Eastern Washington,Sacramento State,35,28,2024-10-12
Idaho,Montana State,7,38,2024-10-12
Valparaiso,Stetson,,,2024-10-12
Brown,Princeton,17,29,2024-10-18
Northwestern State,Nicholls,0,20,2024-10-19
Holy Cross,Harvard,34,35,2024-10-19
Long Island University,Robert Morris,31,45,2024-10-19
Lehigh,Yale,23,38,2024-10-19
St. Francis (PA),Wagner,0,14,2024-10-19
Sacred Heart,Lafayette,17,31,2024-10-19
Villanova,Maine,7,35,2024-10-19
Hampton,North Carolina A&T,59,17,2024-10-19
Stony Brook,Towson,52,24,2024-10-19
Rhode Island,New Hampshire,26,9,2024-10-19
Bryant,Monmouth,17,55,2024-10-19
Dayton,Butler,21,14,2024-10-19
Drake,Presbyterian,19,16,2024-10-19
Stetson,Davidson,48,70,2024-10-19
Central Connecticut,Dartmouth,16,20,2024-10-19
Columbia,Pennsylvania,23,17,2024-10-19
Cornell,Bucknell,34,21,2024-10-19
Stonehill,Merrimack,28,48,2024-10-19
Georgetown,Colgate,28,38,2024-10-19
Wofford,Chattanooga,5,37,2024-10-19
Lindenwood,Gardner-Webb,35,42,2024-10-19
The Citadel,VMI,13,10,2024-10-19
Shorter,West Georgia,13,41,2024-10-19
Northern Iowa,North Dakota,7,31,2024-10-19
Western Carolina,Furman,52,20,2024-10-19
St. Thomas-Minnesota,Valparaiso,42,14,2024-10-19
Fort Valley State,South Carolina State,3,30,2024-10-19
Mercer,Samford,35,55,2024-10-19
Illinois State,Murray State,40,32,2024-10-19
Indiana State,Missouri State,21,46,2024-10-19
Arkansas-Pine Bluff,Grambling,21,31,2024-10-19
Bethune-Cookman,Mississippi Valley State,20,10,2024-10-19
Campbell,William & Mary,28,35,2024-10-19
Delaware,Richmond,9,28,2024-10-19
Elon,UAlbany,30,14,2024-10-19
Florida A&M,Jackson State,21,35,2024-10-19
Tennessee State,Howard,27,14,2024-10-19
Austin Peay,Utah Tech,13,7,2024-10-19
Eastern Kentucky,Abilene Christian,20,34,2024-10-19
Southeast Missouri State,Charleston Southern,26,13,2024-10-19
Tennessee Tech,Western Illinois,21,37,2024-10-19
Cal Poly,Idaho,29,34,2024-10-19
Idaho State,Northern Arizona,26,30,2024-10-19
Montana State,Portland State,44,14,2024-10-19
Lamar,East Texas A&M,29,20,2024-10-19
McNeese,Incarnate Word,17,30,2024-10-19
Marist,San Diego,6,34,2024-10-19
Stephen F. Austin,SE Louisiana,23,24,2024-10-19
South Dakota,Youngstown State,27,17,2024-10-19
UC Davis,Eastern Washington,48,38,2024-10-19
Alcorn State,Southern,14,24,2024-10-19
South Dakota State,North Dakota State,9,13,2024-10-19
Weber State,Sacramento State,48,51,2024-10-19
Yale,Pennsylvania,31,10,2024-10-25
Richmond,Bryant,41,14,2024-10-26
Morehead State,Dayton,14,6,2024-10-26
Valparaiso,Marist,17,14,2024-10-26
Cornell,Brown,21,23,2024-10-26
Central Connecticut,Long Island University,21,24,2024-10-26
Colgate,Merrimack,17,51,2024-10-26
Fordham,Lehigh,19,33,2024-10-26
Mercyhurst,Sacred Heart,14,31,2024-10-26
Maine,Rhode Island,14,24,2024-10-26
Towson,Monmouth,26,14,2024-10-26
Southern Illinois,Indiana State,17,20,2024-10-26
Butler,Davidson,48,38,2024-10-26
Presbyterian,Stetson,42,14,2024-10-26
San Diego,St. Thomas-Minnesota,14,34,2024-10-26
Duquesne,Stonehill,48,34,2024-10-26
Dartmouth,Columbia,24,21,2024-10-26
Holy Cross,Lafayette,34,28,2024-10-26
Elon,Hampton,21,41,2024-10-26
Southern Utah,West Georgia,28,17,2024-10-26
East Tennessee State,Wofford,24,7,2024-10-26
North Dakota State,Murray State,59,6,2024-10-26
Samford,The Citadel,11,28,2024-10-26
Howard,Norfolk State,20,21,2024-10-26
St. Francis (PA),Robert Morris,0,17,2024-10-26
Bucknell,Georgetown,20,21,2024-10-26
Charleston Southern,Tennessee Tech,23,28,2024-10-26
UAlbany,Delaware,14,28,2024-10-26
Utah Tech,Eastern Kentucky,17,28,2024-10-26
Eastern Illinois,UT Martin,17,52,2024-10-26
Gardner-Webb,Southeast Missouri State,24,30,2024-10-26
Western Illinois,Lindenwood,38,49,2024-10-26
Lamar,Northwestern State,42,10,2024-10-26
Montana,Northern Colorado,24,0,2024-10-26
Mississippi Valley State,Arkansas-Pine Bluff,21,35,2024-10-26
Jackson State,Bethune-Cookman,37,17,2024-10-26
Princeton,Harvard,13,45,2024-10-26
East Texas A&M,Prairie View A&M,27,34,2024-10-26
New Hampshire,Villanova,6,14,2024-10-26
William & Mary,Stony Brook,13,35,2024-10-26
Western Carolina,Mercer,34,44,2024-10-26
Alabama State,Alabama A&M,27,19,2024-10-26
Wagner,Massachusetts,7,35,2024-10-26
Delaware State,South Carolina State,35,69,2024-10-26
Morgan State,North Carolina Central,7,16,2024-10-26
North Carolina A&T,Campbell,7,21,2024-10-26
Tarleton State,Austin Peay,27,17,2024-10-26
VMI,Chattanooga,10,31,2024-10-26
McNeese,Nicholls,19,24,2024-10-26
North Alabama,Central Arkansas,19,24,2024-10-26
Missouri State,Northern Iowa,49,42,2024-10-26
Sacramento State,Idaho State,27,30,2024-10-26
North Dakota,Youngstown State,40,41,2024-10-26
Incarnate Word,SE Louisiana,34,31,2024-10-26
Southern,Florida A&M,6,24,2024-10-26
Grambling,Texas Southern,17,24,2024-10-26
Houston Christian,Stephen F. Austin,6,55,2024-10-26
South Dakota,South Dakota State,17,20,2024-10-26
Eastern Washington,Idaho,28,38,2024-10-26
North Carolina Central,South Carolina State,21,24,2024-10-31
Yale,Columbia,10,13,2024-11-01
Maine,Oklahoma,14,59,2024-11-02
Pennsylvania,Brown,38,28,2024-11-02
Wagner,Central Connecticut,14,24,2024-11-02
Mercyhurst,Duquesne,24,31,2024-11-02
Merrimack,Robert Morris,0,6,2024-11-02
Lehigh,Georgetown,43,6,2024-11-02
William & Mary,North Carolina A&T,45,7,2024-11-02
Villanova,Hampton,20,14,2024-11-02
Stony Brook,Bryant,31,30,2024-11-02
Monmouth,Rhode Island,28,37,2024-11-02
New Hampshire,UAlbany,31,14,2024-11-02
North Dakota,Indiana State,31,35,2024-11-02
Dayton,Presbyterian,7,28,2024-11-02
Stetson,Butler,13,46,2024-11-02
St. Thomas-Minnesota,Morehead State,7,21,2024-11-02
Cornell,Princeton,49,35,2024-11-02
Delaware State,Howard,0,38,2024-11-02
Norfolk State,Morgan State,37,38,2024-11-02
Lafayette,Bucknell,14,21,2024-11-02
Stonehill,St. Francis (PA),0,34,2024-11-02
Colgate,Fordham,14,20,2024-11-02
Furman,VMI,17,21,2024-11-02
Harvard,Dartmouth,31,27,2024-11-02
Towson,Richmond,24,35,2024-11-02
Campbell,Elon,27,50,2024-11-02
Gardner-Webb,Charleston Southern,17,14,2024-11-02
Marist,Drake,0,19,2024-11-02
Lincoln (CA),West Georgia,12,88,2024-11-02
Chattanooga,Western Carolina,34,38,2024-11-02
Lindenwood,Tennessee Tech,10,52,2024-11-02
Western Illinois,Eastern Illinois,38,45,2024-11-02
Houston Christian,Incarnate Word,20,45,2024-11-02
East Tennessee State,Mercer,31,37,2024-11-02
Wofford,Samford,17,13,2024-11-02
Youngstown State,Illinois State,16,23,2024-11-02
Southern Illinois,Missouri State,17,38,2024-11-02
Murray State,South Dakota State,6,52,2024-11-02
Southern,Alabama A&M,25,20,2024-11-02
Arkansas-Pine Bluff,Jackson State,3,41,2024-11-02
Grambling,Bethune-Cookman,21,24,2024-11-02
Prairie View A&M,Mississippi Valley State,17,16,2024-11-02
Northern Iowa,North Dakota State,19,42,2024-11-02
Central Arkansas,Utah Tech,21,34,2024-11-02
Southern Utah,Abilene Christian,25,28,2024-11-02
SE Louisiana,Lamar,30,27,2024-11-02
Montana State,Eastern Washington,42,28,2024-11-02
Weber State,Northern Arizona,6,27,2024-11-02
Northern Colorado,UC Davis,7,59,2024-11-02
Texas Southern,Florida A&M,28,52,2024-11-02
Davidson,San Diego,13,40,2024-11-02
Stephen F. Austin,Nicholls,28,12,2024-11-02
Austin Peay,North Alabama,31,17,2024-11-02
Montana,Cal Poly,42,7,2024-11-02
Alcorn State,Alabama State,17,21,2024-11-02
UT Martin,Tennessee State,28,21,2024-11-02
Eastern Kentucky,Tarleton State,17,13,2024-11-02
East Texas A&M,McNeese,3,31,2024-11-02
Portland State,Sacramento State,58,38,2024-11-02
Dartmouth,Princeton,26,17,2024-11-08
Lincoln (CA),Mercyhurst,0,66,2024-11-09
Western Carolina,East Tennessee State,21,24,2024-11-09
San Diego,Dayton,16,10,2024-11-09
Brown,Yale,34,56,2024-11-09
Columbia,Harvard,6,26,2024-11-09
Morgan State,Delaware State,36,28,2024-11-09
Robert Morris,Duquesne,6,31,2024-11-09
Long Island University,Sacred Heart,28,7,2024-11-09
Lehigh,Holy Cross,10,7,2024-11-09
UAlbany,Stony Brook,6,24,2024-11-09
Bryant,Maine,26,38,2024-11-09
Rhode Island,Delaware,21,24,2024-11-09
Elon,William & Mary,40,36,2024-11-09
Hampton,Towson,10,27,2024-11-09
Monmouth,New Hampshire,20,33,2024-11-09
North Carolina A&T,Villanova,3,31,2024-11-09
Northwestern State,SE Louisiana,0,41,2024-11-09
Youngstown State,Southern Illinois,33,37,2024-11-09
Marist,Stetson,40,31,2024-11-09
Morehead State,Davidson,14,31,2024-11-09
Pennsylvania,Cornell,67,49,2024-11-09
Central Connecticut,Stonehill,21,17,2024-11-09
Lafayette,Colgate,21,20,2024-11-09
Fordham,Bucknell,27,28,2024-11-09
Eastern Illinois,Gardner-Webb,28,31,2024-11-09
Mercer,VMI,34,0,2024-11-09
Tarleton State,West Georgia,38,21,2024-11-09
Central Arkansas,Eastern Kentucky,24,31,2024-11-09
Chattanooga,The Citadel,31,7,2024-11-09
UT Martin,Charleston Southern,40,14,2024-11-09
Southeast Missouri State,Lindenwood,12,24,2024-11-09
Tennessee State,Western Illinois,45,20,2024-11-09
Eastern Washington,Northern Colorado,43,15,2024-11-09
Wofford,Furman,19,13,2024-11-09
Illinois State,Northern Iowa,31,9,2024-11-09
Indiana State,South Dakota,0,49,2024-11-09
Missouri State,Murray State,59,31,2024-11-09
South Dakota State,North Dakota,38,7,2024-11-09
Butler,Valparaiso,24,17,2024-11-09
Drake,St. Thomas-Minnesota,22,19,2024-11-09
North Alabama,Southern Utah,26,38,2024-11-09
Nicholls,Houston Christian,21,24,2024-11-09
Lamar,Incarnate Word,20,41,2024-11-09
Idaho State,Weber State,43,35,2024-11-09
Sacramento State,Montana State,7,49,2024-11-09
Alabama A&M,Arkansas-Pine Bluff,52,24,2024-11-09
Alabama State,Grambling,23,24,2024-11-09
Bethune-Cookman,Southern,23,25,2024-11-09
Florida A&M,Prairie View A&M,12,31,2024-11-09
Mississippi Valley State,Jackson State,14,51,2024-11-09
Texas Southern,Alcorn State,21,42,2024-11-09
Tennessee Tech,Samford,27,7,2024-11-09
Richmond,Campbell,27,24,2024-11-09
South Carolina State,Howard,38,14,2024-11-09
Abilene Christian,Austin Peay,35,34,2024-11-09
Idaho,Portland State,39,30,2024-11-09
Stephen F. Austin,East Texas A&M,14,19,2024-11-09
Northern Arizona,Cal Poly,31,14,2024-11-09
UC Davis,Montana,30,14,2024-11-09
Grambling,Alabama A&M,17,22,2024-11-14
Howard,North Carolina Central,3,26,2024-11-15
Mercer,Alabama,7,52,2024-11-16
Richmond,Hampton,24,21,2024-11-16
Villanova,Monmouth,33,40,2024-11-16
North Carolina A&T,Towson,13,31,2024-11-16
Furman,East Tennessee State,24,21,2024-11-16
Northern Iowa,Youngstown State,38,39,2024-11-16
Presbyterian,Marist,42,23,2024-11-16
Valparaiso,Dayton,14,26,2024-11-16
Princeton,Yale,28,42,2024-11-16
Columbia,Brown,21,12,2024-11-16
Delaware State,Norfolk State,19,38,2024-11-16
Robert Morris,Central Connecticut,33,35,2024-11-16
Wagner,Duquesne,21,42,2024-11-16
St. Francis (PA),Long Island University,34,27,2024-11-16
Sacred Heart,Merrimack,31,20,2024-11-16
Colgate,Lehigh,17,45,2024-11-16
Bucknell,Holy Cross,38,40,2024-11-16
Stonehill,Lafayette,10,42,2024-11-16
UAlbany,Rhode Island,17,20,2024-11-16
Bryant,William & Mary,12,22,2024-11-16
Campbell,Delaware,22,41,2024-11-16
Stony Brook,New Hampshire,30,31,2024-11-16
Charleston Southern,Eastern Illinois,13,16,2024-11-16
Illinois State,Indiana State,31,19,2024-11-16
South Dakota,North Dakota,42,36,2024-11-16
Mississippi Valley State,Florida A&M,24,21,2024-11-16
VMI,Western Carolina,28,58,2024-11-16
Morehead State,Drake,29,20,2024-11-16
St. Thomas-Minnesota,Butler,20,36,2024-11-16
Harvard,Pennsylvania,31,28,2024-11-16
Dartmouth,Cornell,22,39,2024-11-16
Georgetown,Fordham,3,31,2024-11-16
Murray State,Kentucky,6,48,2024-11-16
Samford,Chattanooga,36,13,2024-11-16
Tennessee State,Gardner-Webb,23,20,2024-11-16
The Citadel,Wofford,30,17,2024-11-16
Maine,Elon,25,31,2024-11-16
Eastern Kentucky,Austin Peay,30,27,2024-11-16
Western Illinois,Southeast Missouri State,45,54,2024-11-16
Tennessee Tech,UT Martin,10,9,2024-11-16
Houston Christian,East Texas A&M,40,41,2024-11-16
McNeese,Northwestern State,35,3,2024-11-16
Northern Arizona,Northern Colorado,44,3,2024-11-16
Portland State,Montana,17,28,2024-11-16
Southern Illinois,South Dakota State,10,41,2024-11-16
Jackson State,Alabama State,16,10,2024-11-16
Arkansas-Pine Bluff,Southern,9,31,2024-11-16
Bethune-Cookman,Texas Southern,14,17,2024-11-16
Alcorn State,Prairie View A&M,26,13,2024-11-16
Incarnate Word,Stephen F. Austin,27,20,2024-11-16
Missouri State,North Dakota State,21,59,2024-11-16
West Georgia,Utah Tech,34,31,2024-11-16
Nicholls,Lamar,7,24,2024-11-16
Idaho State,Eastern Washington,42,77,2024-11-16
Stetson,San Diego,6,45,2024-11-16
South Carolina State,Morgan State,54,7,2024-11-16
Sacramento State,Cal Poly,23,26,2024-11-16
Southern Utah,Central Arkansas,38,31,2024-11-16
Abilene Christian,Tarleton State,35,31,2024-11-16
Weber State,Idaho,24,31,2024-11-16
Montana State,UC Davis,30,28,2024-11-16
SE Louisiana,Nicholls,19,16,2024-11-21
The Citadel,Clemson,14,51,2024-11-23
Wofford,South Carolina,12,56,2024-11-23
William & Mary,Richmond,0,27,2024-11-23
East Tennessee State,VMI,16,9,2024-11-23
Yale,Harvard,34,29,2024-11-23
Brown,Dartmouth,28,56,2024-11-23
Cornell,Columbia,9,17,2024-11-23
Duquesne,Central Connecticut,14,21,2024-11-23
Long Island University,Wagner,35,28,2024-11-23
Stonehill,Robert Morris,13,31,2024-11-23
Lafayette,Lehigh,14,38,2024-11-23
Holy Cross,Georgetown,34,0,2024-11-23
New Hampshire,Maine,27,9,2024-11-23
Delaware,Villanova,28,38,2024-11-23
Elon,North Carolina A&T,31,21,2024-11-23
Monmouth,Stony Brook,55,47,2024-11-23
Hampton,UAlbany,34,41,2024-11-23
Rhode Island,Bryant,35,21,2024-11-23
Eastern Illinois,Tennessee Tech,6,23,2024-11-23
North Dakota,Illinois State,13,35,2024-11-23
Murray State,Southern Illinois,0,62,2024-11-23
Alabama A&M,Mississippi Valley State,49,35,2024-11-23
Butler,Presbyterian,27,30,2024-11-23
Drake,Stetson,49,10,2024-11-23
San Diego,Morehead State,37,14,2024-11-23
Pennsylvania,Princeton,17,20,2024-11-23
North Carolina Central,Delaware State,52,10,2024-11-23
Howard,Morgan State,21,35,2024-11-23
Merrimack,Fordham,19,3,2024-11-23
St. Francis (PA),Mercyhurst,20,21,2024-11-23
Colgate,Bucknell,34,48,2024-11-23
Charleston Southern,Florida State,7,41,2024-11-23
Norfolk State,South Carolina State,21,53,2024-11-23
Towson,Campbell,45,23,2024-11-23
North Alabama,Eastern Kentucky,15,21,2024-11-23
Chattanooga,Austin Peay,24,17,2024-11-23
Gardner-Webb,Western Illinois,28,45,2024-11-23
Incarnate Word,East Texas A&M,38,24,2024-11-23
Montana,Montana State,11,34,2024-11-23
Indiana State,Northern Iowa,34,41,2024-11-23
North Dakota State,South Dakota,28,29,2024-11-23
Davidson,Valparaiso,17,18,2024-11-23
Dayton,St. Thomas-Minnesota,9,32,2024-11-23
Central Arkansas,Tarleton State,14,39,2024-11-23
Utah Tech,Southern Utah,34,37,2024-11-23
Lindenwood,UT Martin,26,33,2024-11-23
Northwestern State,Houston Christian,24,62,2024-11-23
Cal Poly,Weber State,17,28,2024-11-23
Eastern Washington,Northern Arizona,18,30,2024-11-23
Furman,Mercer,23,49,2024-11-23
South Dakota State,Missouri State,45,9,2024-11-23
Prairie View A&M,Alabama State,6,9,2024-11-23
Texas Southern,Arkansas-Pine Bluff,31,23,2024-11-23
Jackson State,Alcorn State,48,10,2024-11-23
Western Carolina,Samford,47,42,2024-11-23
Abilene Christian,Stephen F. Austin,19,32,2024-11-23
Florida A&M,Bethune-Cookman,41,38,2024-11-23
Northern Colorado,Portland State,13,45,2024-11-23
Southeast Missouri State,Tennessee State,21,28,2024-11-23
UC Davis,Sacramento State,42,39,2024-11-23
Idaho,Idaho State,40,17,2024-11-23
Lamar,McNeese,26,24,2024-11-23
Tuskegee,Alabama State,6,34,2024-11-28
Alabama A&M,Florida A&M,20,28,2024-11-29
Illinois State,Southeast Missouri State,35,27,2024-11-30
Central Connecticut,Rhode Island,17,21,2024-11-30
UT Martin,New Hampshire,41,10,2024-11-30
Grambling,Southern,14,24,2024-11-30
Lehigh,Richmond,20,16,2024-11-30
Eastern Kentucky,Villanova,17,22,2024-11-30
Drake,Tarleton State,29,43,2024-11-30
Northern Arizona,Abilene Christian,0,24,2024-11-30
Tennessee State,Montana,27,41,2024-11-30
Southern,Jackson State,13,41,2024-12-07
Montana,South Dakota State,18,35,2024-12-07
Villanova,Incarnate Word,6,13,2024-12-07
Rhode Island,Mercer,10,17,2024-12-07
UT Martin,Montana State,17,49,2024-12-07
Abilene Christian,North Dakota State,31,51,2024-12-07
Tarleton State,South Dakota,31,42,2024-12-07
Illinois State,UC Davis,10,42,2024-12-07
Lehigh,Idaho,13,34,2024-12-07
Idaho,Montana State,19,52,2024-12-13
Incarnate Word,South Dakota State,14,55,2024-12-14
UC Davis,South Dakota,21,35,2024-12-14
Mercer,North Dakota State,7,31,2024-12-14
Jackson State,South Carolina State,28,7,2024-12-14
South Dakota State,North Dakota State,21,28,2024-12-21
South Dakota,Montana State,17,31,2024-12-21
Indiana,Notre Dame,17,27,2024-12-20
Clemson,Texas,24,38,2024-12-21
SMU,Penn State,10,38,2024-12-21
Tennessee,Ohio State,17,42,2024-12-21