Away,Home,Away_Score,Home Score,Date
Yale,Dartmouth,16,17,2025-10-11
Campbell,Hampton,38,21,2025-10-11
Villanova,Elon,29,21,2025-10-11
Abilene Christian,West Georgia,30,13,2025-10-11
Monmouth,Towson,42,31,2025-10-11
Valdosta State,The Citadel,14,38,2025-10-11
Dayton,Valparaiso,41,10,2025-10-11
Central Connecticut,Robert Morris,24,12,2025-10-11
Furman,Western Carolina,7,52,2025-10-11
Idaho State,Montana State,14,48,2025-10-11
Gardner-Webb,Eastern Illinois,21,10,2025-10-11
Western Illinois,UT Martin,31,32,2025-10-11
Mississippi Valley State,Alabama A&M,25,45,2025-10-11
Lincoln (CA),Alcorn State,0,42,2025-10-11
Southern,Bethune-Cookman,14,45,2025-10-11
North Carolina Central,Florida A&M,45,7,2025-10-11
Northern Iowa,South Dakota State,3,31,2025-10-11
Alabama State,Jackson State,34,38,2025-10-11
Southern Illinois,North Dakota State,17,45,2025-10-11
VMI,East Tennessee State,10,45,2025-10-11
Cal Poly,Montana,9,28,2025-10-11
Tennessee Tech,Charleston Southern,27,13,2025-10-11
Tennessee State,Southeast Missouri State,12,28,2025-10-11
Central Arkansas,North Alabama,49,21,2025-10-11
Youngstown State,North Dakota,17,35,2025-10-11
Northern Colorado,Idaho,49,33,2025-10-11
Drake,San Diego,19,16,2025-10-11
Austin Peay,Eastern Kentucky,20,34,2025-10-11
Northern Arizona,UC Davis,24,45,2025-10-11
Texas Southern,Grambling,21,20,2025-10-11
Illinois State,Murray State,46,32,2025-10-11
Lamar,East Texas A&M,33,23,2025-10-11
Northwestern State,Houston Christian,17,20,2025-10-11
Sacramento State,Weber State,55,27,2025-10-11
Tarleton State,Utah Tech,41,23,2025-10-11
Princeton,Brown,40,21,2025-10-18
Furman,Wofford,13,31,2025-10-18
Butler,Dayton,23,17,2025-10-18
Merrimack,Harvard,7,31,2025-10-18
Robert Morris,Long Island University,7,17,2025-10-18
Stonehill,Yale,7,47,2025-10-18
Hampton,Villanova,14,56,2025-10-18
Eastern Illinois,Southeast Missouri State,13,42,2025-10-18
Stony Brook,Monmouth,21,49,2025-10-18
Youngstown State,Illinois State,40,35,2025-10-18
North Dakota State,Indiana State,38,7,2025-10-18
North Dakota,Southern Illinois,38,19,2025-10-18
Davidson,Drake,0,45,2025-10-18
Stetson,Presbyterian,7,42,2025-10-18
Bucknell,Cornell,20,30,2025-10-18
Dartmouth,Fordham,30,13,2025-10-18
Colgate,Georgetown,17,21,2025-10-18
UT Martin,Gardner-Webb,37,7,2025-10-18
East Tennessee State,Chattanooga,38,42,2025-10-18
Samford,VMI,24,22,2025-10-18
Pennsylvania,Columbia,35,21,2025-10-18
Tennessee Tech,Lindenwood,52,28,2025-10-18
South Dakota State,Murray State,35,14,2025-10-18
South Dakota,Northern Iowa,17,14,2025-10-18
Western Carolina,The Citadel,45,38,2025-10-18
Marist,Morehead State,21,23,2025-10-18
Valparaiso,St. Thomas-Minnesota,17,55,2025-10-18
Holy Cross,Richmond,28,22,2025-10-18
Sacred Heart,Montana,21,43,2025-10-18
Grambling,Arkansas-Pine Bluff,20,16,2025-10-18
Lincoln (CA),Mississippi Valley State,0,49,2025-10-18
New Hampshire,Campbell,24,10,2025-10-18
Elon,William & Mary,21,26,2025-10-18
Rhode Island,UAlbany,58,17,2025-10-18
Charleston Southern,Western Illinois,29,24,2025-10-18
Alcorn State,Florida A&M,28,33,2025-10-18
UT Rio Grande Valley,Lamar,21,23,2025-10-18
Weber State,Portland State,43,27,2025-10-18
Prairie View A&M,Southern,24,3,2025-10-18
Northwestern State,SE Louisiana,0,49,2025-10-18
Central Connecticut,Wagner,24,17,2025-10-18
Howard,Tennessee State,7,24,2025-10-18
East Texas A&M,Incarnate Word,52,45,2025-10-18
Duquesne,Mercyhurst,37,0,2025-10-18
Idaho,Eastern Washington,14,21,2025-10-18
Eastern Kentucky,North Alabama,14,35,2025-10-18
West Georgia,Tarleton State,10,45,2025-10-18
Houston Christian,McNeese,0,27,2025-10-18
Nicholls,Stephen F. Austin,7,34,2025-10-18
Abilene Christian,Southern Utah,24,31,2025-10-18
Northern Colorado,Sacramento State,35,40,2025-10-18
Lafayette,Oregon State,13,45,2025-10-18
Columbia,Dartmouth,3,49,2025-10-24
Montana,Sacramento State,49,35,2025-10-24
San Diego,Davidson,40,28,2025-10-25
Presbyterian,Dayton,19,35,2025-10-25
Drake,Marist,31,17,2025-10-25
Georgetown,Bucknell,31,24,2025-10-25
Harvard,Princeton,35,14,2025-10-25
Duquesne,Wagner,13,24,2025-10-25
Stonehill,Mercyhurst,22,15,2025-10-25
New Haven,Long Island University,16,38,2025-10-25
Pennsylvania,Yale,13,35,2025-10-25
Bryant,Rhode Island,17,38,2025-10-25
Campbell,North Carolina A&T,24,28,2025-10-25
Elon,Maine,14,35,2025-10-25
Southeast Missouri State,Tennessee Tech,23,42,2025-10-25
William & Mary,New Hampshire,24,34,2025-10-25
Delaware State,North Carolina Central,35,26,2025-10-25
Brown,Cornell,24,30,2025-10-25
Morehead State,Valparaiso,17,13,2025-10-25
St. Thomas-Minnesota,Stetson,52,10,2025-10-25
Lehigh,Fordham,27,6,2025-10-25
Colgate,Holy Cross,29,28,2025-10-25
Eastern Illinois,Charleston Southern,16,17,2025-10-25
Monmouth,Hampton,28,10,2025-10-25
Central Arkansas,West Georgia,17,18,2025-10-25
South Carolina State,Norfolk State,51,20,2025-10-25
Illinois State,South Dakota,21,13,2025-10-25
Murray State,Youngstown State,17,51,2025-10-25
The Citadel,Furman,14,24,2025-10-25
Western Illinois,Tennessee State,17,16,2025-10-25
Eastern Washington,Weber State,23,20,2025-10-25
UC Davis,Northern Colorado,27,16,2025-10-25
Gardner-Webb,Lindenwood,48,20,2025-10-25
Tarleton State,Eastern Kentucky,31,7,2025-10-25
Mississippi Valley State,Alcorn State,10,32,2025-10-25
Arkansas-Pine Bluff,Bethune-Cookman,14,31,2025-10-25
Lincoln (CA),Prairie View A&M,0,38,2025-10-25
SE Louisiana,Houston Christian,38,14,2025-10-25
Lamar,Northwestern State,41,14,2025-10-25
Northern Iowa,Southern Illinois,17,31,2025-10-25
VMI,Mercer,0,62,2025-10-25
Robert Morris,Saint Francis,24,14,2025-10-25
Alabama State,Alabama A&M,56,13,2025-10-25
Towson,Stony Brook,19,27,2025-10-25
UAlbany,Villanova,16,29,2025-10-25
Morgan State,Howard,27,33,2025-10-25
Chattanooga,Samford,49,13,2025-10-25
Wofford,East Tennessee State,10,14,2025-10-25
Portland State,Idaho,6,45,2025-10-25
North Alabama,Austin Peay,28,56,2025-10-25
Indiana State,North Dakota,17,46,2025-10-25
McNeese,Nicholls,7,31,2025-10-25
Florida A&M,Southern,43,35,2025-10-25
Northern Arizona,Idaho State,31,18,2025-10-25
Jackson State,Grambling,24,26,2025-10-25
Stephen F. Austin,East Texas A&M,31,21,2025-10-25
Montana State,Cal Poly,34,17,2025-10-25
Southern Utah,Utah Tech,28,7,2025-10-25
Incarnate Word,UT Rio Grande Valley,28,56,2025-10-25
North Dakota State,South Dakota State,38,7,2025-10-25
Norfolk State,Delaware State,20,27,2025-10-30
Brown,Pennsylvania,21,28,2025-10-31
Idaho,Northern Arizona,35,32,2025-10-31
Towson,North Carolina A&T,62,9,2025-11-01
New Haven,Sacred Heart,20,35,2025-11-01
Columbia,Yale,10,24,2025-11-01
Georgetown,Lehigh,0,41,2025-11-01
Long Island University,Central Connecticut,7,10,2025-11-01
Wagner,Saint Francis,23,20,2025-11-01
Monmouth,Bryant,35,7,2025-11-01
Stony Brook,Maine,21,28,2025-11-01
Gardner-Webb,Tennessee Tech,21,27,2025-11-01
Drake,Butler,24,19,2025-11-01
Davidson,Morehead State,24,28,2025-11-01
Valparaiso,Presbyterian,14,43,2025-11-01
Princeton,Cornell,17,20,2025-11-01
Lafayette,Holy Cross,21,13,2025-11-01
Robert Morris,Stonehill,20,17,2025-11-01
Merrimack,Colgate,20,23,2025-11-01
Samford,Wofford,16,26,2025-11-01
Montana State,Northern Colorado,55,7,2025-11-01
Charleston Southern,Southeast Missouri State,23,17,2025-11-01
Morgan State,South Carolina State,30,36,2025-11-01
North Dakota,South Dakota,21,26,2025-11-01
Mercer,Furman,52,28,2025-11-01
VMI,The Citadel,24,35,2025-11-01
Marist,St. Thomas-Minnesota,0,45,2025-11-01
Fordham,Richmond,14,17,2025-11-01
Montana,Weber State,38,17,2025-11-01
UT Martin,Eastern Illinois,27,20,2025-11-01
Alabama A&M,Grambling,10,13,2025-11-01
Alabama State,Prairie View A&M,31,28,2025-11-01
Alcorn State,Texas Southern,33,14,2025-11-01
Southern,Arkansas-Pine Bluff,21,40,2025-11-01
Mississippi Valley State,Bethune-Cookman,34,42,2025-11-01
Northern Iowa,Illinois State,16,31,2025-11-01
Indiana State,South Dakota State,24,12,2025-11-01
Lamar,Incarnate Word,17,24,2025-11-01
Dartmouth,Harvard,10,31,2025-11-01
UAlbany,William & Mary,7,37,2025-11-01
North Carolina Central,Howard,35,14,2025-11-01
Youngstown State,North Dakota State,30,38,2025-11-01
Sacramento State,Eastern Washington,35,13,2025-11-01
Idaho State,UC Davis,38,36,2025-11-01
Tarleton State,Abilene Christian,28,31,2025-11-01
North Alabama,Utah Tech,33,34,2025-11-01
Houston Christian,Nicholls,7,31,2025-11-01
Western Carolina,Chattanooga,35,28,2025-11-01
Dayton,San Diego,13,31,2025-11-01
Lindenwood,Tennessee State,35,13,2025-11-01
Portland State,Cal Poly,40,35,2025-11-01
Eastern Kentucky,Central Arkansas,34,13,2025-11-01
Southern Illinois,Murray State,27,7,2025-11-01
Jackson State,Florida A&M,41,16,2025-11-01
East Texas A&M,SE Louisiana,14,59,2025-11-01
Northwestern State,McNeese,3,50,2025-11-01
UT Rio Grande Valley,Stephen F. Austin,17,41,2025-11-01
Austin Peay,Southern Utah,17,33,2025-11-01
Delaware State,Morgan State,14,12,2025-11-07
Harvard,Columbia,31,14,2025-11-07
The Citadel,Ole Miss,0,49,2025-11-08
New Hampshire,Monmouth,34,13,2025-11-08
North Carolina A&T,Stony Brook,12,38,2025-11-08
Furman,Chattanooga,28,45,2025-11-08
Virginia Lynchburg,Sacred Heart,10,56,2025-11-08
Yale,Brown,34,22,2025-11-08
Holy Cross,Lehigh,3,38,2025-11-08
Stonehill,Central Connecticut,10,40,2025-11-08
Duquesne,Long Island University,11,29,2025-11-08
Wagner,Robert Morris,24,20,2025-11-08
Mercyhurst,Saint Francis,16,15,2025-11-08
Colgate,Lafayette,42,59,2025-11-08
Bryant,UAlbany,27,24,2025-11-08
Maine,Hampton,35,7,2025-11-08
Tennessee Tech,Eastern Illinois,21,9,2025-11-08
Villanova,Towson,28,10,2025-11-08
Illinois State,Indiana State,52,20,2025-11-08
Butler,Morehead State,30,31,2025-11-08
Presbyterian,Davidson,13,14,2025-11-08
St. Thomas-Minnesota,Drake,20,13,2025-11-08
Stetson,Marist,13,41,2025-11-08
San Diego,Valparaiso,43,27,2025-11-08
Bucknell,Fordham,37,19,2025-11-08
Cornell,Pennsylvania,39,17,2025-11-08
Princeton,Dartmouth,17,20,2025-11-08
Richmond,Georgetown,31,24,2025-11-08
Southeast Missouri State,Gardner-Webb,24,27,2025-11-08
Howard,South Carolina State,12,42,2025-11-08
Wofford,VMI,52,10,2025-11-08
William & Mary,Campbell,30,27,2025-11-08
Rhode Island,Elon,34,20,2025-11-08
Lindenwood,Western Illinois,21,24,2025-11-08
Tennessee State,UT Martin,7,26,2025-11-08
Norfolk State,North Carolina Central,28,31,2025-11-08
Incarnate Word,Northwestern State,38,3,2025-11-08
Murray State,Northern Iowa,14,31,2025-11-08
North Dakota State,North Dakota,15,10,2025-11-08
Southern Illinois,Youngstown State,38,48,2025-11-08
Mercer,Western Carolina,49,47,2025-11-08
Eastern Washington,Montana,24,29,2025-11-08
Weber State,Montana State,14,66,2025-11-08
Utah Tech,Abilene Christian,10,31,2025-11-08
Southern Utah,Eastern Kentucky,27,17,2025-11-08
Prairie View A&M,Alabama A&M,48,5,2025-11-08
Texas Southern,Alabama State,24,42,2025-11-08
Florida A&M,Arkansas-Pine Bluff,31,28,2025-11-08
Bethune-Cookman,Grambling,23,31,2025-11-08
Jackson State,Mississippi Valley State,42,3,2025-11-08
Stephen F. Austin,Houston Christian,50,3,2025-11-08
East Tennessee State,Samford,38,14,2025-11-08
Merrimack,New Haven,31,41,2025-11-08
Central Arkansas,Austin Peay,38,41,2025-11-08
West Georgia,North Alabama,24,17,2025-11-08
Southern,Alcorn State,17,35,2025-11-08
SE Louisiana,Lamar,12,14,2025-11-08
South Dakota State,South Dakota,17,24,2025-11-08
Sacramento State,Portland State,52,24,2025-11-08
McNeese,East Texas A&M,35,20,2025-11-08
Cal Poly,Idaho State,17,27,2025-11-08
Northern Colorado,Northern Arizona,10,49,2025-11-08
Nicholls,UT Rio Grande Valley,21,28,2025-11-08
UC Davis,Idaho,28,14,2025-11-08
South Carolina State,North Carolina Central,34,27,2025-11-14
New Hampshire,Bryant,42,14,2025-11-15
Monmouth,North Carolina A&T,63,19,2025-11-15
Morgan State,Norfolk State,35,28,2025-11-15
Indiana State,Youngstown State,29,48,2025-11-15
North Dakota,Murray State,35,17,2025-11-15
East Tennessee State,Western Carolina,52,35,2025-11-15
Davidson,Marist,10,37,2025-11-15
Drake,Dayton,14,6,2025-11-15
Merrimack,Sacred Heart,37,42,2025-11-15
Holy Cross,Bucknell,37,20,2025-11-15
Brown,Columbia,32,29,2025-11-15
Pennsylvania,Harvard,43,45,2025-11-15
Central Connecticut,Duquesne,33,38,2025-11-15
Long Island University,Saint Francis,10,3,2025-11-15
Robert Morris,Mercyhurst,13,27,2025-11-15
Stonehill,Wagner,14,20,2025-11-15
Yale,Princeton,13,10,2025-11-15
William & Mary,Hampton,55,14,2025-11-15
Rhode Island,Maine,45,13,2025-11-15
Stony Brook,Villanova,27,30,2025-11-15
Towson,UAlbany,36,19,2025-11-15
Howard,Delaware State,13,26,2025-11-15
Bethune-Cookman,Jackson State,13,28,2025-11-15
South Dakota,Southern Illinois,53,51,2025-11-15
VMI,Furman,14,32,2025-11-15
Stetson,Valparaiso,31,32,2025-11-15
Cornell,Dartmouth,14,24,2025-11-15
Fordham,Georgetown,0,14,2025-11-15
Lehigh,Colgate,27,7,2025-11-15
Tennessee Tech,Kentucky,10,42,2025-11-15
Elon,Campbell,31,24,2025-11-15
Charleston Southern,UT Martin,14,17,2025-11-15
Southeast Missouri State,Western Illinois,22,17,2025-11-15
Samford,Austin Peay,16,30,2025-11-15
Utah Tech,West Georgia,0,23,2025-11-15
Wofford,The Citadel,16,14,2025-11-15
Presbyterian,St. Thomas-Minnesota,23,9,2025-11-15
Lafayette,Richmond,35,28,2025-11-15
Gardner-Webb,Tennessee State,30,14,2025-11-15
Eastern Illinois,Lindenwood,12,42,2025-11-15
Abilene Christian,Eastern Kentucky,17,10,2025-11-15
Florida A&M,Alabama A&M,26,23,2025-11-15
Grambling,Alcorn State,16,27,2025-11-15
Arkansas-Pine Bluff,Prairie View A&M,9,56,2025-11-15
Illinois State,South Dakota State,35,21,2025-11-15
Texas Southern,Southern,35,30,2025-11-15
SE Louisiana,Incarnate Word,10,7,2025-11-15
Chattanooga,Mercer,17,63,2025-11-15
Northern Iowa,North Dakota State,16,48,2025-11-15
Northern Colorado,Eastern Washington,7,27,2025-11-15
Cal Poly,Northern Arizona,27,35,2025-11-15
Northwestern State,Nicholls,21,26,2025-11-15
Butler,San Diego,7,29,2025-11-15
Montana,Portland State,63,17,2025-11-15
Alabama State,Mississippi Valley State,41,3,2025-11-15
Houston Christian,East Texas A&M,32,37,2025-11-15
Lamar,Stephen F. Austin,15,26,2025-11-15
Weber State,Idaho State,3,31,2025-11-15
North Alabama,Tarleton State,0,61,2025-11-15
UT Rio Grande Valley,McNeese,28,13,2025-11-15
Central Arkansas,Southern Utah,21,28,2025-11-15
Idaho,Sacramento State,20,23,2025-11-15
UC Davis,Montana State,17,38,2025-11-15
Nicholls,SE Louisiana,26,38,2025-11-20
Stephen F. Austin,Northwestern State,62,14,2025-11-20
Samford,Texas A&M,0,48,2025-11-22
Eastern Illinois,Alabama,0,56,2025-11-22
Bryant,Stony Brook,28,35,2025-11-22
UAlbany,Monmouth,31,24,2025-11-22
North Carolina Central,Morgan State,33,14,2025-11-22
Western Carolina,VMI,48,6,2025-11-22
Dartmouth,Brown,28,35,2025-11-22
Harvard,Yale,28,45,2025-11-22
Fordham,Merrimack,26,27,2025-11-22
Mercyhurst,Central Connecticut,28,35,2025-11-22
Wagner,Long Island University,17,24,2025-11-22
Lehigh,Lafayette,42,32,2025-11-22
Campbell,Towson,31,35,2025-11-22
Hampton,Rhode Island,10,38,2025-11-22
Maine,New Hampshire,27,33,2025-11-22
UT Martin,Tennessee Tech,17,20,2025-11-22
Sacred Heart,Villanova,10,34,2025-11-22
Richmond,William & Mary,28,21,2025-11-22
South Carolina State,Delaware State,28,17,2025-11-22
Arkansas-Pine Bluff,Alabama State,13,44,2025-11-22
Southern Illinois,Illinois State,37,7,2025-11-22
Murray State,Indiana State,31,17,2025-11-22
The Citadel,East Tennessee State,26,28,2025-11-22
Valparaiso,Butler,20,27,2025-11-22
Dayton,Davidson,42,14,2025-11-22
Morehead State,Drake,10,17,2025-11-22
Marist,Presbyterian,25,29,2025-11-22
San Diego,Stetson,42,8,2025-11-22
Bucknell,Colgate,19,38,2025-11-22
Columbia,Cornell,29,12,2025-11-22
Saint Francis,Stonehill,10,20,2025-11-22
Princeton,Pennsylvania,6,17,2025-11-22
Western Illinois,Gardner-Webb,29,24,2025-11-22
Chattanooga,Wofford,13,35,2025-11-22
Mercer,Auburn,17,62,2025-11-22
Montana State,Montana,31,28,2025-11-22
Portland State,Northern Colorado,13,24,2025-11-22
Tennessee State,Charleston Southern,6,7,2025-11-22
North Carolina A&T,Elon,17,55,2025-11-22
Lindenwood,Southeast Missouri State,30,13,2025-11-22
Southern Utah,North Alabama,36,34,2025-11-22
South Dakota State,North Dakota,34,31,2025-11-22
Youngstown State,Northern Iowa,35,32,2025-11-22
Duquesne,Robert Morris,20,17,2025-11-22
Northern Arizona,Weber State,28,48,2025-11-22
Alabama A&M,Texas Southern,7,24,2025-11-22
Mississippi Valley State,Prairie View A&M,6,59,2025-11-22
Incarnate Word,Houston Christian,31,10,2025-11-22
Alcorn State,Jackson State,21,27,2025-11-22
Florida A&M,Bethune-Cookman,34,38,2025-11-22
Norfolk State,Howard,15,44,2025-11-22
St. Thomas-Minnesota,North Dakota State,7,62,2025-11-22
Idaho State,Idaho,37,16,2025-11-22
Sacramento State,UC Davis,27,31,2025-11-22
Eastern Kentucky,Utah Tech,33,10,2025-11-22
McNeese,Lamar,21,19,2025-11-22
Georgetown,Holy Cross,7,42,2025-11-22
Furman,Clemson,10,45,2025-11-22
Eastern Washington,Cal Poly,34,43,2025-11-22
Abilene Christian,Central Arkansas,49,28,2025-11-22
Austin Peay,Tarleton State,44,45,2025-11-22
East Texas A&M,UT Rio Grande Valley,14,33,2025-11-22
Tuskegee,Alabama State,21,58,2025-11-27
Yale,Youngstown State,43,42,2025-11-29
Harvard,Villanova,7,52,2025-11-29
Central Connecticut,Rhode Island,19,27,2025-11-29
Lamar,Abilene Christian,20,38,2025-11-29
Illinois State,SE Louisiana,21,3,2025-11-29
North Dakota,Tennessee Tech,31,6,2025-11-29
New Hampshire,South Dakota State,3,41,2025-11-29
Drake,South Dakota,17,38,2025-11-29
Southern,Grambling,28,27,2025-11-29
Florida A&M,Mississippi Valley State,31,35,2025-11-29
Villanova,Lehigh,14,7,2025-12-06
South Dakota,Mercer,47,0,2025-12-06
Illinois State,North Dakota State,29,28,2025-12-06
North Dakota,Tarleton State,13,31,2025-12-06
Prairie View A&M,Jackson State,23,21,2025-12-06
Yale,Montana State,13,21,2025-12-06
South Dakota State,Montana,29,50,2025-12-06
Abilene Christian,Stephen F. Austin,34,41,2025-12-06
Rhode Island,UC Davis,26,47,2025-12-06
